"UK-AIR ID","EU Site ID","EMEP Site ID","Site Name","Environment Type","Zone","Start Date","End Date","Latitude","Longitude","Northing","Easting","Altitude (m)","Networks","AURN Pollutants Measured","Site Description"
"UKA00644","GB1086A","","Borehamwood Meadow Park","Background Urban","Eastern","2017-10-01","","51.661229","-0.270671","197243.00","519709.00","85","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Located near a bowling club in a residential part of Borehamwood, Hertfordshire. Surrounded by residential areas and parkland. The nearest road is 137m from the site."
"UKA00429","GB0741A","","Bournemouth","Background Urban","Bournemouth Urban Area","2001-03-05","2017-10-31","50.739570","-1.826744","93343.15","412321.91","30","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self contained air conditioned mobile unit within the grounds of Porchester School. The nearest main road is the A338 Wessex Way approximately 770m from the site. The nearest residential road, Shepherds Way, is 48m from the site."
"UKA00611","GB1053A","","Bradford Mayo Avenue","Traffic Urban","West Yorkshire Urban Area","2015-04-24","","53.771245","-1.759774","430571.56","415930.92","187","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Roadside monitoring station in front of houses on the A6177, Mayo Avenue, which forms part of Bradfordâ€™s ring road."
"UKA00483","GB0860A","","Brighton Preston Park","Background Urban","Brighton/Worthing/Littlehampton","2004-11-03","2019-05-28","50.840836","-0.147572","106224.60","530523.94","10","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located inside the Pavilion Building within Preston Park. The nearest road is London Road (A23), which is approximately 190m from the monitoring station. The manifold inlet is located on the roof of the pavilion building. The surrounding area is open urban parkland and comprises of public playing fields and recreational areas with a few mature trees within 5-10 metres of the monitoring station."
"UKA00494","GB0884A","","Bristol St Paul's","Background Urban","Bristol Urban Area","2006-06-15","2019-06-26","51.462839","-2.584482","173925.03","359492.10","15","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained, air conditioned unit within the car park of a day nursery. The monitoring station is approximately 30 metres south east of Wilder Street, a lightly trafficked urban back street. The surrounding area is primarily residential, with some commercial premises in the immediate vicinity. "
"UKA00631","GB1072A","","Bristol Temple Way","Traffic Urban","Bristol Urban Area","2017-04-01","","51.457968","-2.583975","173383.00","359523.00","13","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Roadside monitoring station beside multi-lane section of the A4044 (Temple Way), a major route in and out of Bristol city centre. Close to a hotel, shops and flats."
"UKA00652","GB1094A","","Burton-on-Trent Horninglow","Background Urban","West Midlands","2018-02-01","","52.821050","-1.635718","324897.00","424646.00","46","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature",""
"UKA00598","GB1040A","","Bury Whitefield Roadside","Traffic Urban","Greater Manchester Urban Area","2014-07-11","2018-10-24","53.559029","-2.293772","406974.42","380637.36","102","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained air conditioned mobile unit within the fenced grounds of St Bernadettes Roman Catholic Primary School, on the road side of A56 -Manchester road. The surrounding area comprises residential houses, in an urban environment."
"UKA00128","GB0033R","GB0033R","Bush Estate","Background Rural","Central Scotland","1986-04-01","2016-01-05","55.862281","-3.205782","663890.62","324629.04","180","Acid Gas and Aerosol Network; Automatic Urban and Rural Network (AURN); National Ammonia Monitoring Network","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self-contained, air conditioned housing located within the grounds of the Institute of Terrestrial Ecology some 10 kilometres south of the centre of Edinburgh. The nearest road is a quiet rural road approximately 50 metres north of the station. The A702 is approximately 450 metres west of the site. The surrounding area is generally open with trees located within the vicinity approximately 40 metres from the monitoring station. "
"UKA00396","GB0726A","","Cambridge Roadside","Traffic Urban","Eastern","1999-06-26","","52.202370","0.124456","258142.42","545279.43","19","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is contained within the first floor offices of the City Council on Regent Street. The road is a busy urban street which leads traffic directly to the city centre shopping area."
"UKA00259","GB0636A","","Camden Kerbside","Traffic Urban","Greater London Urban Area","1996-05-16","2009-02-18","51.544210","-0.175269","184390.33","526632.53","50","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Non-volatile PM10 (Hourly measured); Volatile PM10 (Hourly measured); PM2.5 particulate matter (Hourly measured); Non-volatile PM2.5 (Hourly measured); Volatile PM2.5 (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature; PM10 Ambient Temperature; PM10 Ambient pressure measured; PM2.5 Ambient Temperature; PM2.5 Ambient Preasure","The monitoring station is located in a self contained, air conditioned cabin on the north side of the Swiss Cottage Junction. The site is at the southern end of a broad street canyon, the road is often congested. Pedestrian traffic is also high. The surrounding area mainly consists of shops and offices. The site is part of the London Air Quality Network and is owned and funded by the London Borough of Camden."
"UKA00623","GB1064A","","Cannock A5190 Roadside","Traffic Urban","West Midlands","2016-08-10","","52.687298","-1.980821","309956.61","401393.54","182","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Junction with Newlands Lane, Cannock"
"UKA00424","GB0737A","","Canterbury","Background Urban","South East","2001-01-02","2007-09-30","51.273990","1.098061","157319.12","616186.92","35","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained housing located at the western edge of a large Technology School in a suburb of Canterbury. The surrounding area is open with residential dwellings and a railway line. The nearest road is a minor road approximately 20 metres away. Thie site is approximately 1.5 kilometres form the centre of Canterbury."
"UKA00217","GB0580A","","Cardiff Centre","Background Urban","Cardiff Urban Area","1992-05-12","2007-09-10","51.481780","-3.176250","176525.75","318416.22","12","Automatic Urban and Rural Network (AURN); UK Black Carbon Network","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; Carbon monoxide; PM10 particulate matter (Hourly measured); Non-volatile PM10 (Hourly measured); Volatile PM10 (Hourly measured); PM2.5 particulate matter (Hourly measured); Non-volatile PM2.5 (Hourly measured); Volatile PM2.5 (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature; PM10 Ambient Temperature; PM10 Ambient pressure measured; PM2.5 Ambient Temperature; PM2.5 Ambient Preasure","The monitoring station is located within a self-contained, air-conditioned housing located within a pedestrianised area. The nearest road, the A4161 North Road is approximately 200 metres to the west of the station and is subject to periodic congestion during peak periods. The surrounding area comprises retail and business premises."
"UKA00653","GB1095A","","Cardiff Newport Road","Traffic Urban","Cardiff Urban Area","2018-04-01","","51.490960","-3.152305","177520.00","320095.00","8","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature",""
"UKA00526","GB0925A","","Carlisle Roadside","Traffic Urban","North West & Merseyside","2008-02-14","2018-11-20","54.894834","-2.945307","555975.97","339469.19","11","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self-contained, air-conditioned housing on the south side of the A595 Castle Way. The surrounding area is open, with residential dwellings and light industrial activities. "
"UKA00537","GB0957A","GB0053R","Charlton Mackrell","Background Rural","South West","2008-09-03","","51.056250","-2.683450","128767.68","352195.88","54","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained, air conditioned housing within an open field. The current location is approximately 500 metres west of the original (Somerton) location. The nearest road is approximately 500 metres and is a quiet rural lane.  "
"UKA00553","GB1007A","","Chatham Roadside","Traffic Urban","South East","2010-03-25","2016-11-10","51.374264","0.547970","166992.84","577436.75","80","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air-conditioned housing located inside school grounds on Rainham Road (A2). The surrounding area is urban residential."
"UKA00515","GB0921A","","Chepstow A48","Traffic Urban","South Wales","2008-01-01","2018-08-09","51.638094","-2.678731","193472.64","353125.50","67","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained air conditioned housing on the north side of the A48 Newport Road at the junction with Hardwick Hill Lane. The surrounding area is open with residential dwellings. "
"UKA00604","GB1046A","","Chesterfield Loundsley Green","Background Urban","East Midlands","2015-03-01","2019-06-20","53.244131","-1.454946","372039.00","436470.00","98","Automatic Urban and Rural Network (AURN); Heavy Metals Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained air conditioned mobile unit within the grounds of Loundsley Green Park. The nearest road is Pennine road, 15 m distant to the south. The site is located in the Northwest outskirts of Chesterfield city centre. The surrounding area comprises residential houses and green areas. The closest highly dense roads are B6150, which lies approx. 450 m to the North, and Ashgate road, 490 m to the west."
"UKA00529","GB0928A","","Chesterfield Roadside","Traffic Urban","East Midlands","2008-03-11","2019-06-20","53.231722","-1.456944","370657.99","436347.52","96","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self-contained air conditioned housing adjacent to property number 461, Chatsworth Road (A619). The surrounding area is predominantly residential with commercial/light industrial properties 400 metres to the east."
"UKA00614","GB1055R","GB1055R","Chilbolton Observatory","Background Rural","South East","2016-01-11","2018-07-24","51.149617","-1.438228","139078.44","439389.91","78","Acid Gas and Aerosol Network; Automatic Hydrocarbon Monitoring Network; Automatic Urban and Rural Network (AURN); Daily rainfall EMEP; Heavy Metals Network; MARGA network; National Ammonia Monitoring Network; PAH Deposition; PAH Digitel (solid phase); Particulates; TEKRAN (Mercury) Network; UK Black Carbon Network; UKEAP - Rural NO2 (NO2-Net); Weekly rainfall (LOW)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature; Wind Direction; Wind Speed","The monitoring station is located approximately 200m SE from the outskirts of Chilbolton Village, in arable farmland."
"UKA00624","GB1065A","","Christchurch Barrack Road","Traffic Urban","Bournemouth Urban Area","2016-09-01","","50.735454","-1.780888","92894.01","415559.03","3","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Roadside monitoring station beside a dual carriageway section of the A35 as it passes through Christchurch, Dorset."
"UKA00592","GB1034A","","Coventry Allesley","Background Urban","Coventry/Bedworth","2014-06-11","2019-05-28","52.411563","-1.560228","279375.50","430010.74","98","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained air conditioned mobile unit located within the grounds of Allesley Park, in the roadside of Buckingham Rise Road. The site is located at approximately 3.4 km west of Coventry's city centre. The surrounding area is mainly open land with the nearest trees occurring within a distance of 45 meters. The nearest major road is the A45, which lies approximately 75 meters to the west."
"UKA00634","GB1075A","","Coventry Binley Road","Traffic Urban","Coventry/Bedworth","2017-04-01","2018-09-11","52.407708","-1.490082","278978.01","434785.14","82","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Roadside monitoring station in parkland beside Binley Road, a major route in and out of Coventry city centre."
"UKA00659","GB1100A","","Crewe Coppenhall","Background Urban","North West & Merseyside","2019-10-15","","53.115941","-2.453492","357736.30","369744.10","54","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature",""
"UKA00436","GB0744A","","Cwmbran","Background Urban","South Wales","2001-07-20","2007-10-15","51.653800","-3.006953","195481.48","330435.61","71","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located within a self contained mobile unit within playing fields adjacent to school buildings. The nearest road, the residential access road Turnpike Drive is approximately 200 metres to the east of the station. The surrounding area is urban / semi-rural environment with undulating topography of a valley basin."
"UKA00630","GB1071A","","Derby St Alkmund's Way","Traffic Urban","East Midlands","2017-01-01","","52.922983","-1.469507","336305.97","435763.02","51","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Roadside monitoring station at the edge of Bass's Recreation Ground, beside St Alkmund's Way (a multi-lane section of the A52 which forms part of Derbyâ€™s ring road)."
"UKA00619","GB1060A","","Derry Rosemount","Background Urban","Northern Ireland","2016-03-21","2019-10-22","55.002818","-7.331179","580589.97","59252.77","54","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","An urban background monitoring station in parkland, surrounded by residential areas."
"UKA00654","GB1096A","","Dewsbury Ashworth Grove","Background Urban","West Yorkshire Urban Area","2018-04-01","","53.693104","-1.637111","421912.00","424060.00","69","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature",""
